international2023_swedish.json | [s] None => 15617 | [h] None => 5a148294ae | 2023-11-16 13:28:23 (UTC+3)
international2023_tchinese.json | [s] None => 8572 | [h] None => 5c95f1a756 | 2023-11-16 13:28:23 (UTC+3)
international2023_thai.json | [s] None => 14782 | [h] None => 4b62b9f72c | 2023-11-16 13:28:23 (UTC+3)
international2023_turkish.json | [s] None => 15854 | [h] None => eb08e30d36 | 2023-11-16 13:28:23 (UTC+3)
international2023_ukrainian.json | [s] None => 15645 | [h] None => 22e240eac5 | 2023-11-16 13:28:23 (UTC+3)
international2023_vietnamese.json | [s] None => 15562 | [h] None => 1417e4d88a | 2023-11-16 13:28:24 (UTC+3)
juneupdate22_brazilian.json | [s] None => 8307 | [h] None => 114ed139c2 | 2023-11-16 13:28:23 (UTC+3)
juneupdate22_bulgarian.json | [s] None => 8330 | [h] None => 2942bc0cf9 | 2023-11-16 13:28:23 (UTC+3)
juneupdate22_czech.json | [s] None => 7114 | [h] None => 917c85c477 | 2023-11-16 13:28:23 (UTC+3)
juneupdate22_danish.json | [s] None => 7789 | [h] None => 09840b0163 | 2023-11-16 13:28:23 (UTC+3)
juneupdate22_english.json | [s] None => 7610 | [h] None => cace8f0e9e | 2023-11-16 13:28:23 (UTC+3)
juneupdate22_french.json | [s] None => 9252 | [h] None => 30745e0fad | 2023-11-16 13:28:23 (UTC+3)
juneupdate22_german.json | [s] None => 8396 | [h] None => 4aa7b70a17 | 2023-11-16 13:28:23 (UTC+3)
juneupdate22_greek.json | [s] None => 8851 | [h] None => fbaf17a28a | 2023-11-16 13:28:24 (UTC+3)
juneupdate22_hungarian.json | [s] None => 8005 | [h] None => cadc4a259b | 2023-11-16 13:28:24 (UTC+3)
juneupdate22_italian.json | [s] None => 8800 | [h] None => c153673ae3 | 2023-11-16 13:28:23 (UTC+3)
juneupdate22_koreana.json | [s] None => 4989 | [h] None => 0e376f3dee | 2023-11-16 13:28:23 (UTC+3)
juneupdate22_latam.json | [s] None => 8514 | [h] None => 0bfc81ed7b | 2023-11-16 13:28:23 (UTC+3)
juneupdate22_norwegian.json | [s] None => 7643 | [h] None => f6c8211649 | 2023-11-16 13:28:23 (UTC+3)
juneupdate22_polish.json | [s] None => 8442 | [h] None => 27d9b2e724 | 2023-11-16 13:28:23 (UTC+3)
juneupdate22_portuguese.json | [s] None => 8650 | [h] None => c725f897da | 2023-11-16 13:28:23 (UTC+3)
juneupdate22_russian.json | [s] None => 7714 | [h] None => 039274707f | 2023-11-16 13:28:24 (UTC+3)
juneupdate22_schinese.json | [s] None => 3642 | [h] None => e2d9437ccd | 2023-11-16 13:28:23 (UTC+3)
juneupdate22_spanish.json | [s] None => 8588 | [h] None => d20b5bbb75 | 2023-11-16 13:28:23 (UTC+3)
juneupdate22_swedish.json | [s] None => 7740 | [h] None => a5e9987461 | 2023-11-16 13:28:23 (UTC+3)
