3716088977008825833_brazilian | [s] None => 4772 | [h] None => 89a31c293f | 2023-11-16 13:28:17 (UTC+3)
3716088977008825833_bulgarian | [s] None => 6464 | [h] None => 91a0ce542a | 2023-11-16 13:28:17 (UTC+3)
3716088977008825833_czech | [s] None => 4779 | [h] None => 1fa91f8e05 | 2023-11-16 13:28:17 (UTC+3)
3716088977008825833_danish | [s] None => 4724 | [h] None => 76bdbc95d2 | 2023-11-16 13:28:17 (UTC+3)
3716088977008825833_dutch | [s] None => 4893 | [h] None => 2ee4dda74a | 2023-11-16 13:28:17 (UTC+3)
3716088977008825833_english | [s] None => 4549 | [h] None => df287b4c5e | 2023-11-16 13:28:17 (UTC+3)
3716088977008825833_finnish | [s] None => 4591 | [h] None => fdcfe71156 | 2023-11-16 13:28:17 (UTC+3)
3716088977008825833_french | [s] None => 5094 | [h] None => e3068329b6 | 2023-11-16 13:28:17 (UTC+3)
3716088977008825833_german | [s] None => 4977 | [h] None => d946324bb1 | 2023-11-16 13:28:17 (UTC+3)
3716088977008825833_greek | [s] None => 6427 | [h] None => 255af1844e | 2023-11-16 13:28:17 (UTC+3)
3716088977008825833_hungarian | [s] None => 4895 | [h] None => eccc4bbff0 | 2023-11-16 13:28:17 (UTC+3)
3716088977008825833_italian | [s] None => 4952 | [h] None => 016fa3d697 | 2023-11-16 13:28:17 (UTC+3)
3716088977008825833_japanese | [s] None => 5096 | [h] None => 0d45bdb94e | 2023-11-16 13:28:17 (UTC+3)
3716088977008825833_koreana | [s] None => 5113 | [h] None => c961999525 | 2023-11-16 13:28:17 (UTC+3)
3716088977008825833_latam | [s] None => 4933 | [h] None => cf4dc4839b | 2023-11-16 13:28:17 (UTC+3)
3716088977008825833_norwegian | [s] None => 4560 | [h] None => 268830d193 | 2023-11-16 13:28:17 (UTC+3)
3716088977008825833_polish | [s] None => 5054 | [h] None => 898ccce83e | 2023-11-16 13:28:17 (UTC+3)
3716088977008825833_portuguese | [s] None => 4889 | [h] None => 78b54d5b13 | 2023-11-16 13:28:17 (UTC+3)
3716088977008825833_romanian | [s] None => 5034 | [h] None => 4b3f3fc0ae | 2023-11-16 13:28:17 (UTC+3)
3716088977008825833_russian | [s] None => 6037 | [h] None => 67a725a575 | 2023-11-16 13:28:17 (UTC+3)
3716088977008825833_schinese | [s] None => 4362 | [h] None => d1b8fe9440 | 2023-11-16 13:28:17 (UTC+3)
3716088977008825833_spanish | [s] None => 5049 | [h] None => 8f23cb89b2 | 2023-11-16 13:28:17 (UTC+3)
3716088977008825833_swedish | [s] None => 4674 | [h] None => 9e4020bcf0 | 2023-11-16 13:28:17 (UTC+3)
3716088977008825833_tchinese | [s] None => 4484 | [h] None => 319f120a0f | 2023-11-16 13:28:17 (UTC+3)
3716088977008825833_thai | [s] None => 7934 | [h] None => 683d1be87b | 2023-11-16 13:28:17 (UTC+3)
3716088977008825833_turkish | [s] None => 4704 | [h] None => a0d5e62757 | 2023-11-16 13:28:17 (UTC+3)
3716088977008825833_ukrainian | [s] None => 6010 | [h] None => 6c20f5e3ff | 2023-11-16 13:28:17 (UTC+3)
3716088977008825833_vietnamese | [s] None => 5192 | [h] None => b2199ddc8a | 2023-11-16 13:28:17 (UTC+3)
3718343313136929719_brazilian | [s] None => 4388 | [h] None => f910849021 | 2023-11-16 13:28:17 (UTC+3)
3718343313136929719_bulgarian | [s] None => 6338 | [h] None => 9660507c38 | 2023-11-16 13:28:17 (UTC+3)
3718343313136929719_czech | [s] None => 4492 | [h] None => ddb8c9f54d | 2023-11-16 13:28:17 (UTC+3)
3718343313136929719_danish | [s] None => 4352 | [h] None => c2d8c3baa3 | 2023-11-16 13:28:17 (UTC+3)
3718343313136929719_dutch | [s] None => 4514 | [h] None => ba88c2ec88 | 2023-11-16 13:28:17 (UTC+3)
3718343313136929719_english | [s] None => 4218 | [h] None => 561c327d35 | 2023-11-16 13:28:17 (UTC+3)
3718343313136929719_finnish | [s] None => 4407 | [h] None => bbc87fcaa6 | 2023-11-16 13:28:17 (UTC+3)
3718343313136929719_french | [s] None => 4674 | [h] None => c33fd74879 | 2023-11-16 13:28:17 (UTC+3)
3718343313136929719_german | [s] None => 4496 | [h] None => cc2d1a281f | 2023-11-16 13:28:17 (UTC+3)
3718343313136929719_greek | [s] None => 6160 | [h] None => 3975928b8b | 2023-11-16 13:28:17 (UTC+3)
3718343313136929719_hungarian | [s] None => 4474 | [h] None => 7af1c16084 | 2023-11-16 13:28:17 (UTC+3)
3718343313136929719_italian | [s] None => 4515 | [h] None => fd184b1c74 | 2023-11-16 13:28:17 (UTC+3)
3718343313136929719_japanese | [s] None => 5137 | [h] None => afd2f6fdc8 | 2023-11-16 13:28:17 (UTC+3)
3718343313136929719_koreana | [s] None => 4745 | [h] None => 3b18c9f450 | 2023-11-16 13:28:17 (UTC+3)
3718343313136929719_latam | [s] None => 4672 | [h] None => cb97550d56 | 2023-11-16 13:28:17 (UTC+3)
3718343313136929719_norwegian | [s] None => 4241 | [h] None => ca14ed6e4e | 2023-11-16 13:28:17 (UTC+3)
3718343313136929719_polish | [s] None => 4701 | [h] None => a27c24c0bf | 2023-11-16 13:28:17 (UTC+3)
3718343313136929719_portuguese | [s] None => 4422 | [h] None => 54ae38ae51 | 2023-11-16 13:28:17 (UTC+3)
3718343313136929719_romanian | [s] None => 4660 | [h] None => 9d3260200e | 2023-11-16 13:28:17 (UTC+3)
3718343313136929719_russian | [s] None => 5640 | [h] None => d67dd3fb36 | 2023-11-16 13:28:17 (UTC+3)
3718343313136929719_schinese | [s] None => 4123 | [h] None => 8a2e33e847 | 2023-11-16 13:28:17 (UTC+3)
3718343313136929719_spanish | [s] None => 4524 | [h] None => 7b42840078 | 2023-11-16 13:28:17 (UTC+3)
3718343313136929719_swedish | [s] None => 4312 | [h] None => fac66aebc4 | 2023-11-16 13:28:17 (UTC+3)
3718343313136929719_tchinese | [s] None => 4274 | [h] None => af18b6cd83 | 2023-11-16 13:28:17 (UTC+3)
3718343313136929719_thai | [s] None => 7426 | [h] None => ba478a01f4 | 2023-11-16 13:28:17 (UTC+3)
3718343313136929719_turkish | [s] None => 4482 | [h] None => 7721fc2ee8 | 2023-11-16 13:28:17 (UTC+3)
3718343313136929719_ukrainian | [s] None => 6025 | [h] None => e1df838b04 | 2023-11-16 13:28:17 (UTC+3)
3718343313136929719_vietnamese | [s] None => 4983 | [h] None => b79dccaae0 | 2023-11-16 13:28:17 (UTC+3)
3718343313158227539_brazilian | [s] None => 7132 | [h] None => 977eda9e93 | 2023-11-16 13:28:17 (UTC+3)
3718343313158227539_bulgarian | [s] None => 10519 | [h] None => 2750115a87 | 2023-11-16 13:28:17 (UTC+3)
3718343313158227539_czech | [s] None => 7390 | [h] None => 9d1321ce32 | 2023-11-16 13:28:17 (UTC+3)
3718343313158227539_danish | [s] None => 7312 | [h] None => 72ed5af9d6 | 2023-11-16 13:28:17 (UTC+3)
3718343313158227539_dutch | [s] None => 7498 | [h] None => 778fa56fb9 | 2023-11-16 13:28:17 (UTC+3)
3718343313158227539_english | [s] None => 7015 | [h] None => b6a9b5c46b | 2023-11-16 13:28:17 (UTC+3)
3718343313158227539_finnish | [s] None => 7415 | [h] None => 8718ccbea0 | 2023-11-16 13:28:17 (UTC+3)
3718343313158227539_french | [s] None => 7933 | [h] None => f198a59ec9 | 2023-11-16 13:28:17 (UTC+3)
3718343313158227539_german | [s] None => 7920 | [h] None => b91d49520b | 2023-11-16 13:28:17 (UTC+3)
3718343313158227539_greek | [s] None => 10107 | [h] None => ce8b7e140b | 2023-11-16 13:28:17 (UTC+3)
3718343313158227539_hungarian | [s] None => 7419 | [h] None => a132c61637 | 2023-11-16 13:28:17 (UTC+3)
3718343313158227539_italian | [s] None => 7489 | [h] None => dc91ccbe99 | 2023-11-16 13:28:17 (UTC+3)
3718343313158227539_japanese | [s] None => 8443 | [h] None => b8cbdbec8c | 2023-11-16 13:28:17 (UTC+3)
3718343313158227539_koreana | [s] None => 7956 | [h] None => 06a3788cd0 | 2023-11-16 13:28:17 (UTC+3)
3718343313158227539_latam | [s] None => 7621 | [h] None => 9c9e207144 | 2023-11-16 13:28:17 (UTC+3)
3718343313158227539_norwegian | [s] None => 6970 | [h] None => 20304a216a | 2023-11-16 13:28:17 (UTC+3)
3718343313158227539_polish | [s] None => 8114 | [h] None => f09313bcea | 2023-11-16 13:28:17 (UTC+3)
3718343313158227539_portuguese | [s] None => 7353 | [h] None => 6ad93ef29c | 2023-11-16 13:28:17 (UTC+3)
3718343313158227539_romanian | [s] None => 7970 | [h] None => 2bd8e7ffed | 2023-11-16 13:28:17 (UTC+3)
3718343313158227539_russian | [s] None => 9154 | [h] None => f154b7551f | 2023-11-16 13:28:17 (UTC+3)
3718343313158227539_schinese | [s] None => 6810 | [h] None => 92e7b2b335 | 2023-11-16 13:28:17 (UTC+3)
3718343313158227539_spanish | [s] None => 7621 | [h] None => dac4414115 | 2023-11-16 13:28:17 (UTC+3)
