attribute_bonus | [s] None => 2448 | [h] None => 3ce2395a81 | 2023-11-16 13:28:37 (UTC+3)
axe_battle_hunger | [s] None => 3499 | [h] None => 09bf3ffed6 | 2023-11-16 13:28:37 (UTC+3)
axe_berserkers_call | [s] None => 3221 | [h] None => fe1daa6eab | 2023-11-16 13:28:37 (UTC+3)
axe_counter_helix | [s] None => 3203 | [h] None => 0162c41856 | 2023-11-16 13:28:37 (UTC+3)
axe_culling_blade | [s] None => 3525 | [h] None => d915ef112f | 2023-11-16 13:28:37 (UTC+3)
backdoor_protection | [s] None => 2368 | [h] None => 7d3a0b271e | 2023-11-16 13:28:37 (UTC+3)
backdoor_protection_in_base | [s] None => 2376 | [h] None => 2468466d22 | 2023-11-16 13:28:37 (UTC+3)
bane_brain_sap | [s] None => 2756 | [h] None => ae302eb38f | 2023-11-16 13:28:37 (UTC+3)
bane_enfeeble | [s] None => 3335 | [h] None => 917c6f8111 | 2023-11-16 13:28:37 (UTC+3)
bane_fiends_grip | [s] None => 3389 | [h] None => d81d005c55 | 2023-11-16 13:28:37 (UTC+3)
bane_nightmare | [s] None => 3151 | [h] None => efe686c273 | 2023-11-16 13:28:37 (UTC+3)
bane_nightmare_end | [s] None => 1891 | [h] None => dffeb53788 | 2023-11-16 13:28:37 (UTC+3)
batrider_firefly | [s] None => 3326 | [h] None => b08241e75e | 2023-11-16 13:28:37 (UTC+3)
batrider_flamebreak | [s] None => 4164 | [h] None => 15b77bf8ea | 2023-11-16 13:28:37 (UTC+3)
batrider_flaming_lasso | [s] None => 3413 | [h] None => 584c1c975f | 2023-11-16 13:28:37 (UTC+3)
batrider_sticky_napalm | [s] None => 4075 | [h] None => 7b98a1fcc2 | 2023-11-16 13:28:37 (UTC+3)
batrider_sticky_napalm_application_damage | [s] None => 1886 | [h] None => 9e333f26a4 | 2023-11-16 13:28:37 (UTC+3)
bear_empty1 | [s] None => 1841 | [h] None => b5138b590e | 2023-11-16 13:28:37 (UTC+3)
bear_empty2 | [s] None => 1841 | [h] None => 202f63d496 | 2023-11-16 13:28:37 (UTC+3)
beastmaster_boar_poison | [s] None => 2370 | [h] None => ff5ebeb4bf | 2023-11-16 13:28:37 (UTC+3)
beastmaster_call_of_the_wild | [s] None => 1854 | [h] None => 8f281c9b1e | 2023-11-16 13:28:37 (UTC+3)
beastmaster_call_of_the_wild_boar | [s] None => 3706 | [h] None => 690d9a8713 | 2023-11-16 13:28:37 (UTC+3)
beastmaster_call_of_the_wild_hawk | [s] None => 4600 | [h] None => 0435933af5 | 2023-11-16 13:28:37 (UTC+3)
beastmaster_call_of_the_wild_hawk_attack | [s] None => 1935 | [h] None => c3a5b5581d | 2023-11-16 13:28:37 (UTC+3)
beastmaster_drums_of_slom | [s] None => 3862 | [h] None => 5ed6024401 | 2023-11-16 13:28:37 (UTC+3)
beastmaster_greater_boar_poison | [s] None => 2354 | [h] None => d5833a5a6a | 2023-11-16 13:28:37 (UTC+3)
