death_prophet | [s] None => 31882 | [h] None => e86e4ea466 | 2023-11-16 13:28:15 (UTC+3)
disruptor | [s] None => 30526 | [h] None => 81ecd209f3 | 2023-11-16 13:28:15 (UTC+3)
doom_bringer | [s] None => 30234 | [h] None => 990863cdfd | 2023-11-16 13:28:15 (UTC+3)
dragon_knight | [s] None => 34639 | [h] None => 3da5f3c212 | 2023-11-16 13:28:15 (UTC+3)
earth_spirit | [s] None => 38261 | [h] None => beb7f4bb3f | 2023-11-16 13:28:15 (UTC+3)
elder_titan | [s] None => 32951 | [h] None => f60abd5437 | 2023-11-16 13:28:15 (UTC+3)
ember_spirit | [s] None => 33853 | [h] None => 2c5089de75 | 2023-11-16 13:28:15 (UTC+3)
enchantress | [s] None => 35207 | [h] None => 38ca300d78 | 2023-11-16 13:28:15 (UTC+3)
enigma | [s] None => 32010 | [h] None => 4e80f5b536 | 2023-11-16 13:28:15 (UTC+3)
faceless_void | [s] None => 31364 | [h] None => 6805071996 | 2023-11-16 13:28:15 (UTC+3)
furion | [s] None => 33608 | [h] None => cebed429b0 | 2023-11-16 13:28:15 (UTC+3)
grimstroke | [s] None => 37895 | [h] None => 279b4689f7 | 2023-11-16 13:28:15 (UTC+3)
gyrocopter | [s] None => 32826 | [h] None => f59e7cb841 | 2023-11-16 13:28:15 (UTC+3)
hoodwink | [s] None => 41580 | [h] None => e450ba779a | 2023-11-16 13:28:15 (UTC+3)
huskar | [s] None => 31027 | [h] None => e565492ccd | 2023-11-16 13:28:15 (UTC+3)
invoker | [s] None => 66774 | [h] None => 22a4bae5ec | 2023-11-16 13:28:15 (UTC+3)
jakiro | [s] None => 33395 | [h] None => 8282eee948 | 2023-11-16 13:28:15 (UTC+3)
keeper_of_the_light | [s] None => 42304 | [h] None => 4fec3337de | 2023-11-16 13:28:15 (UTC+3)
kunkka | [s] None => 37020 | [h] None => dff48bdce1 | 2023-11-16 13:28:15 (UTC+3)
legion_commander | [s] None => 31410 | [h] None => a6aa70f829 | 2023-11-16 13:28:15 (UTC+3)
leshrac | [s] None => 32512 | [h] None => 80462c903f | 2023-11-16 13:28:15 (UTC+3)
lich | [s] None => 33767 | [h] None => fa233d167c | 2023-11-16 13:28:15 (UTC+3)
life_stealer | [s] None => 33470 | [h] None => acecfe0efb | 2023-11-16 13:28:15 (UTC+3)
lina | [s] None => 32313 | [h] None => 6deff8cd2a | 2023-11-16 13:28:15 (UTC+3)
lion | [s] None => 30323 | [h] None => d0ed73a373 | 2023-11-16 13:28:15 (UTC+3)
lone_druid | [s] None => 32785 | [h] None => 22d259daab | 2023-11-16 13:28:15 (UTC+3)
luna | [s] None => 31886 | [h] None => d5bb0bd7d1 | 2023-11-16 13:28:15 (UTC+3)
lycan | [s] None => 33190 | [h] None => b60b8be60b | 2023-11-16 13:28:15 (UTC+3)
magnataur | [s] None => 35392 | [h] None => 596d357e2d | 2023-11-16 13:28:15 (UTC+3)
marci | [s] None => 34766 | [h] None => 9a0f35ab02 | 2023-11-16 13:28:15 (UTC+3)
mars | [s] None => 35446 | [h] None => 0487899da2 | 2023-11-16 13:28:15 (UTC+3)
medusa | [s] None => 33626 | [h] None => 0b68c13148 | 2023-11-16 13:28:15 (UTC+3)
meepo | [s] None => 37441 | [h] None => bd242400c8 | 2023-11-16 13:28:15 (UTC+3)
monkey_king | [s] None => 34684 | [h] None => 6840982f4f | 2023-11-16 13:28:15 (UTC+3)
morphling | [s] None => 37088 | [h] None => a007897349 | 2023-11-16 13:28:15 (UTC+3)
muerta | [s] None => 36052 | [h] None => 3883208a79 | 2023-11-16 13:28:15 (UTC+3)
naga_siren | [s] None => 32714 | [h] None => bcb59e17ca | 2023-11-16 13:28:15 (UTC+3)
necrolyte | [s] None => 32199 | [h] None => e8aa160175 | 2023-11-16 13:28:15 (UTC+3)
nevermore | [s] None => 32741 | [h] None => 7f1a64d886 | 2023-11-16 13:28:15 (UTC+3)
night_stalker | [s] None => 29785 | [h] None => 60579b207c | 2023-11-16 13:28:15 (UTC+3)
nyx_assassin | [s] None => 34386 | [h] None => de6ede3843 | 2023-11-16 13:28:15 (UTC+3)
obsidian_destroyer | [s] None => 31524 | [h] None => b9012830e1 | 2023-11-16 13:28:15 (UTC+3)
ogre_magi | [s] None => 37720 | [h] None => 9598415db7 | 2023-11-16 13:28:15 (UTC+3)
omniknight | [s] None => 29813 | [h] None => 9ae2a97433 | 2023-11-16 13:28:15 (UTC+3)
oracle | [s] None => 36216 | [h] None => 278de832bf | 2023-11-16 13:28:15 (UTC+3)
pangolier | [s] None => 35986 | [h] None => 95e2df9852 | 2023-11-16 13:28:15 (UTC+3)
phantom_assassin | [s] None => 33167 | [h] None => 7abc67139d | 2023-11-16 13:28:15 (UTC+3)
phantom_lancer | [s] None => 34623 | [h] None => 1d61950280 | 2023-11-16 13:28:15 (UTC+3)
phoenix | [s] None => 33552 | [h] None => 838ddc22f6 | 2023-11-16 13:28:15 (UTC+3)
primal_beast | [s] None => 38862 | [h] None => 8541a875cc | 2023-11-16 13:28:15 (UTC+3)
puck | [s] None => 29809 | [h] None => 2a5839272b | 2023-11-16 13:28:15 (UTC+3)
pudge | [s] None => 33319 | [h] None => 7fe63871f0 | 2023-11-16 13:28:15 (UTC+3)
pugna | [s] None => 32133 | [h] None => 24c97ba8dd | 2023-11-16 13:28:15 (UTC+3)
queenofpain | [s] None => 30372 | [h] None => a1a535ca15 | 2023-11-16 13:28:15 (UTC+3)
rattletrap | [s] None => 38265 | [h] None => ccbed3823c | 2023-11-16 13:28:15 (UTC+3)
razor | [s] None => 31793 | [h] None => d1345cee27 | 2023-11-16 13:28:15 (UTC+3)
riki | [s] None => 29138 | [h] None => 68c6d91ab6 | 2023-11-16 13:28:15 (UTC+3)
rubick | [s] None => 30799 | [h] None => fe3804df17 | 2023-11-16 13:28:15 (UTC+3)
sand_king | [s] None => 31679 | [h] None => 8bf3c73a36 | 2023-11-16 13:28:15 (UTC+3)
shadow_demon | [s] None => 34953 | [h] None => 20c290f0f7 | 2023-11-16 13:28:15 (UTC+3)
shadow_shaman | [s] None => 30317 | [h] None => a0f892fe59 | 2023-11-16 13:28:15 (UTC+3)
shredder | [s] None => 39732 | [h] None => f190f426b2 | 2023-11-16 13:28:15 (UTC+3)
silencer | [s] None => 30978 | [h] None => da00928ef2 | 2023-11-16 13:28:15 (UTC+3)
skeleton_king | [s] None => 32891 | [h] None => aef9ededd6 | 2023-11-16 13:28:15 (UTC+3)
skywrath_mage | [s] None => 34973 | [h] None => 42d26c263e | 2023-11-16 13:28:15 (UTC+3)
slardar | [s] None => 30118 | [h] None => 78e8d6369d | 2023-11-16 13:28:15 (UTC+3)
slark | [s] None => 33627 | [h] None => fa3326b295 | 2023-11-16 13:28:15 (UTC+3)
snapfire | [s] None => 41421 | [h] None => 0de0a0c65c | 2023-11-16 13:28:15 (UTC+3)
sniper | [s] None => 33917 | [h] None => fe487667ac | 2023-11-16 13:28:15 (UTC+3)
spectre | [s] None => 33342 | [h] None => a122d25afc | 2023-11-16 13:28:15 (UTC+3)
