phoenix | [s] None => 33552 | [h] None => 838ddc22f6 | 2023-11-16 13:28:15 (UTC+3)
primal_beast | [s] None => 38862 | [h] None => 8541a875cc | 2023-11-16 13:28:15 (UTC+3)
puck | [s] None => 29809 | [h] None => 2a5839272b | 2023-11-16 13:28:15 (UTC+3)
pudge | [s] None => 33319 | [h] None => 7fe63871f0 | 2023-11-16 13:28:15 (UTC+3)
pugna | [s] None => 32133 | [h] None => 24c97ba8dd | 2023-11-16 13:28:15 (UTC+3)
queenofpain | [s] None => 30372 | [h] None => a1a535ca15 | 2023-11-16 13:28:15 (UTC+3)
rattletrap | [s] None => 38265 | [h] None => ccbed3823c | 2023-11-16 13:28:15 (UTC+3)
razor | [s] None => 31793 | [h] None => d1345cee27 | 2023-11-16 13:28:15 (UTC+3)
riki | [s] None => 29138 | [h] None => 68c6d91ab6 | 2023-11-16 13:28:15 (UTC+3)
rubick | [s] None => 30799 | [h] None => fe3804df17 | 2023-11-16 13:28:15 (UTC+3)
sand_king | [s] None => 31679 | [h] None => 8bf3c73a36 | 2023-11-16 13:28:15 (UTC+3)
shadow_demon | [s] None => 34953 | [h] None => 20c290f0f7 | 2023-11-16 13:28:15 (UTC+3)
shadow_shaman | [s] None => 30317 | [h] None => a0f892fe59 | 2023-11-16 13:28:15 (UTC+3)
shredder | [s] None => 39732 | [h] None => f190f426b2 | 2023-11-16 13:28:15 (UTC+3)
silencer | [s] None => 30978 | [h] None => da00928ef2 | 2023-11-16 13:28:15 (UTC+3)
skeleton_king | [s] None => 32891 | [h] None => aef9ededd6 | 2023-11-16 13:28:15 (UTC+3)
skywrath_mage | [s] None => 34973 | [h] None => 42d26c263e | 2023-11-16 13:28:15 (UTC+3)
slardar | [s] None => 30118 | [h] None => 78e8d6369d | 2023-11-16 13:28:15 (UTC+3)
slark | [s] None => 33627 | [h] None => fa3326b295 | 2023-11-16 13:28:15 (UTC+3)
snapfire | [s] None => 41421 | [h] None => 0de0a0c65c | 2023-11-16 13:28:15 (UTC+3)
sniper | [s] None => 33917 | [h] None => fe487667ac | 2023-11-16 13:28:15 (UTC+3)
spectre | [s] None => 33342 | [h] None => a122d25afc | 2023-11-16 13:28:15 (UTC+3)
spirit_breaker | [s] None => 32558 | [h] None => dfdeb3b356 | 2023-11-16 13:28:15 (UTC+3)
storm_spirit | [s] None => 31452 | [h] None => 2a2552603e | 2023-11-16 13:28:15 (UTC+3)
sven | [s] None => 29035 | [h] None => ba1686a906 | 2023-11-16 13:28:15 (UTC+3)
target_dummy | [s] None => 646 | [h] None => b421dca3c0 | 2023-11-16 13:28:15 (UTC+3)
techies | [s] None => 36263 | [h] None => fd34dd1b5d | 2023-11-16 13:28:15 (UTC+3)
templar_assassin | [s] None => 33574 | [h] None => 1899184603 | 2023-11-16 13:28:15 (UTC+3)
terrorblade | [s] None => 35031 | [h] None => e5ff9731be | 2023-11-16 13:28:15 (UTC+3)
